"id_chosenPair","id_subsetPair","smiles_molecule_a","smiles_molecule_b","tanimoto_cdk_Extended","TanimotoCombo","pchembl_distance","target_name","simil_2D","simil_3D","dissimil_2D","dissimil_3D","id_molecule_a","id_molecule_b","id_randPair","pair_type"
52,3,"CC(C)[C@@H](CN1CCC(c2cccc(O)c2)CC1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1","CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1",1.0,1.946,0.71,"HERG",1,1,0,0,1249,1260,2705,"sim2D,sim3D"
53,14,"COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1","COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1",0.9660056657223796,1.897,0.2199999999999997,"CYP2D6",1,1,0,0,62,66,1080,"sim2D,sim3D"
54,16,"COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC(C)(C)C(=O)O)c1","COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC2(C(=O)O)CCCC2)c1",0.9629629629629628,1.826,0.1000000000000005,"HERG",1,1,0,0,668,779,783,"sim2D,sim3D"
55,18,"COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1","COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1",0.9594594594594594,1.985,0.6400000000000006,"CYP2D6",1,1,0,0,118,144,704,"sim2D,sim3D"
56,20,"COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1","COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccccc3)CC2)cc1",0.9585635359116024,1.984,0.2999999999999998,"CYP2D6",1,1,0,0,2,73,104,"sim2D,sim3D"
57,21,"O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2cccnc2)c2cccc(F)c12)C1CC1","O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2cccc(F)c2)c2cccc(F)c12)C1CC1",0.95136186770428,1.897,0.1299999999999999,"HERG",1,1,0,0,282,347,283,"sim2D,sim3D"
58,23,"COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1","COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1",0.9497206703910616,1.894,0.4000000000000003,"CYP2D6",1,1,0,0,66,146,1391,"sim2D,sim3D"
59,27,"COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3OC)c3ccccc3)CC2)cc1","COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1",0.946524064171123,1.914,0.0600000000000005,"CYP2D6",1,1,0,0,97,147,1978,"sim2D,sim3D"
60,29,"Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1","Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(F)cc2)CC1",0.9426934097421203,1.976,0.0,"CYP2D6",1,1,0,0,67,102,2093,"sim2D,sim3D"
61,42,"COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccc(F)cc3)CC2)cc1","COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1",0.9291338582677166,1.902,0.1800000000000006,"CYP2D6",1,1,0,0,3,144,2198,"sim2D,sim3D"
