"id_chosenPair","id_subsetPair","smiles_molecule_a","smiles_molecule_b","tanimoto_cdk_Extended","TanimotoCombo","pchembl_distance","target_name","simil_2D","simil_3D","dissimil_2D","dissimil_3D","id_molecule_a","id_molecule_b","id_randPair","pair_type"
14,37,"COc1ccc(N2Cc3c(c4ccc(Cl)cc4n3C)C2=O)cc1OCCN1CCC(C)CC1","COc1ccc(N2CCN(c3ccc(C)c(C(F)(F)F)c3)C2=O)cc1OCCN1CCOCC1",0.4819897084048027,1.579,0.2000000000000001,"5HT2B",0,1,1,0,480,828,257,"dis2D,sim3D"
15,42,"COc1ccc(N2CC=C(c3cccc(F)c3)C2=O)cc1OCCN1CCCCC1","COc1ccc(C2CCN(c3ccc(Cl)c(Cl)c3)C2=O)cc1OCCN1CCCCC1",0.5909980430528375,1.5619999999999998,0.1000000000000005,"5HT2B",0,1,1,0,206,269,2187,"dis2D,sim3D"
16,52,"O=S(=O)(c1ccc(Cl)cc1)C1CCN(CCc2ccc(F)cc2F)CC1","O=S(=O)(c1ccccc1)c1ccc(/C=C/c2ccc(F)cc2F)nc1",0.319634703196347,1.519,1.7700000000000005,"HERG",0,1,1,0,259,416,428,"dis2D,sim3D"
17,56,"CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1","CN(C)CCC=C1c2ccccc2COc2ccccc21",0.4217557251908397,1.5019999999999998,0.25,"5HT2B",0,1,1,0,419,597,1487,"dis2D,sim3D"
18,66,"CCc1cnc2c(N3CC[C@@H](NC)C3)nc(N)nc2c1","Nc1nc(N2CCNCC2)c2ccc(C3CCCC3)cc2n1",0.6025369978858351,1.46,1.1099999999999994,"HERG",0,1,1,0,821,868,2191,"dis2D,sim3D"
19,67,"Cc1cscc1-c1cccnc1","CSCc1ccc(-c2cccnc2)o1",0.3694444444444444,1.459,0.1800000000000006,"CYP2D6",0,1,1,0,84,124,481,"dis2D,sim3D"
20,69,"COc1cccc2[nH]cc(C3CC3N)c12","CC(N)Cc1c[nH]c2ccc3c(c12)CCCO3",0.6082004555808656,1.454,0.6999999999999993,"5HT2B",0,1,1,0,560,772,1848,"dis2D,sim3D"
21,70,"CC(=O)Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc34)CC2)c1","Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5)CC3)cccc2n1",0.6446808510638298,1.454,0.7999999999999998,"HERG",0,1,1,0,55,432,1350,"dis2D,sim3D"
22,74,"CC(N)Cc1c2ccoc2c(Br)c2ccoc12","C[C@H](N)Cn1ccc2ccc3ccncc3c21",0.2004773269689737,1.45,3.040000000000001,"5HT2B",0,1,1,0,226,306,2506,"dis2D,sim3D"
23,76,"N#Cc1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1","O=S(=O)(c1ccc(F)cc1)c1ccc(CCc2ccc(F)cc2)cn1",0.3485576923076923,1.444,1.09,"HERG",0,1,1,0,43,209,2656,"dis2D,sim3D"
24,78,"Cc1ccc2c(N3CCN(CCc4c(C)ccc5c4ccc(=O)n5C)CC3)cccc2n1","Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)N(C)C)ncn4-5)CC3)cccc2n1",0.5380029806259314,1.4369999999999998,0.0,"HERG",0,1,1,0,1039,1094,2105,"dis2D,sim3D"
25,93,"CC(=O)SCc1ccc(-c2cccnc2)o1","CN(C)Cc1ccc(-c2cccnc2)s1",0.3855421686746988,1.412,0.5,"CYP2D6",0,1,1,0,9,15,1297,"dis2D,sim3D"
26,1,"COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1","COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1",0.8777777777777778,1.1909999999999998,0.1800000000000006,"CYP2D6",1,0,0,1,65,69,1222,"sim2D,dis3D"
27,3,"COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1","COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1",0.8591549295774648,1.2919999999999998,0.0,"CYP2D6",1,0,0,1,90,103,1468,"sim2D,dis3D"
28,4,"COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1","COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1",0.8579387186629527,1.232,0.2999999999999998,"CYP2D6",1,0,0,1,69,90,2621,"sim2D,dis3D"
29,5,"COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1","COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1",0.8482384823848238,1.137,0.1199999999999992,"CYP2D6",1,0,0,1,65,81,2097,"sim2D,dis3D"
30,6,"O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1)c1ccc(C(F)(F)F)cc1","COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1",0.8297872340425532,1.271,0.2999999999999998,"CYP2D6",1,0,0,1,49,69,1243,"sim2D,dis3D"
31,7,"COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1","COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1",0.8256130790190735,1.127,0.3000000000000007,"CYP2D6",1,0,0,1,51,103,2975,"sim2D,dis3D"
32,9,"O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1)c1ccc(C(F)(F)F)cc1","COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1",0.8015873015873016,1.275,0.5999999999999996,"CYP2D6",1,0,0,1,49,103,402,"sim2D,dis3D"
33,19,"COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1","COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(F)cc3)c3ccccc3)CC2)cc1",0.7743589743589744,1.06,0.0,"CYP2D6",1,0,0,1,62,98,2274,"sim2D,dis3D"
34,20,"COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1","COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1",0.7729591836734694,0.99,0.6000000000000005,"CYP2D6",1,0,0,1,51,146,1360,"sim2D,dis3D"
